"79","2021-03-11",NULL,NULL,NULL,NULL,"PARM",NULL,"U_9999","173",NULL,"E_2"
"80","2014-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","179","F_8","E_1"
"81","2021-02-24",NULL,"0.00",NULL,NULL,"PARM",NULL,"U_9999","164","F_0","E_1"
"82","2021-03-11",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","174",NULL,"E_2"
"83","2017-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"U_9999","180","F_0","E_2"
"84","2017-08-25",NULL,"1390000000.00","Peru",NULL,"PARM",NULL,"D_2","165","F_9","E_1"
"85","2018-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","181","F_4","E_2"
"86","2021-03-11",NULL,NULL,NULL,NULL,"PARM",NULL,"U_9999","175",NULL,"E_2"
"87","2018-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","168","U_9999","E_2"
"88","2021-04-03",NULL,"1900.00","Arima General Hospital",NULL,"PARM",NULL,"D_8","170","F_0","E_1"
"89","2017-08-25",NULL,NULL,NULL,NULL,"PARM",NULL,"D_2","166",NULL,"E_1"
"90","2021-03-15",NULL,"0.00",NULL,NULL,"PARM",NULL,"U_9999","191","F_9","E_2"
"91","2020-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","197","F_7","E_2"
"92","2020-01-30",NULL,NULL,NULL,NULL,"PARM",NULL,"D_13","201","F_9","E_2"
"93","2021-03-15",NULL,"0.00","China",NULL,"PARM",NULL,"U_9999","192","F_9","E_2"
"94","2020-01-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_10","198","F_7","E_2"
"95","2019-02-06",NULL,NULL,NULL,NULL,"PARM",NULL,"D_4","186","F_6","E_1"
"96","2021-03-10",NULL,NULL,NULL,"Partnership","PARM",NULL,"D_1","188",NULL,"E_1"
"97","2020-01-30",NULL,NULL,NULL,NULL,"PARM",NULL,"D_13","202","U_9999","E_2"
"98","2019-02-06",NULL,NULL,NULL,NULL,"PARM",NULL,"D_4","187","F_6","E_1"
"99","2020-01-30",NULL,NULL,NULL,NULL,"PARM",NULL,"D_0","203","F_9","E_2"
"100","2019-02-08",NULL,"1000000000.00",NULL,NULL,"PARM",NULL,"D_1","199","F_1","E_1"
"101","2021-03-10",NULL,NULL,NULL,NULL,"PARM",NULL,"D_2","190",NULL,"E_1"
"102","2020-01-30",NULL,NULL,NULL,NULL,"PARM",NULL,"U_9999","204","F_0","E_1"
"103","2021-02-08",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","200","F_0","E_1"
"104","2019-05-09",NULL,"0.00","Mexico",NULL,"PARM",NULL,"D_13","193","F_0","E_1"
"105","2021-03-10",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","189",NULL,"E_1"
"106","2020-01-30",NULL,NULL,NULL,NULL,"PARM",NULL,"D_13","205","F_0","E_2"
"107","2017-08-28",NULL,NULL,NULL,NULL,"PARM",NULL,"D_1","206","F_1","E_2"
"118","2017-01-01",NULL,NULL,"Central African Republic",NULL,"PARM",NULL,"D_13","212","F_2","E_2"
"119","2018-08-29",NULL,NULL,"Khartoum, Sudan",NULL,"PARM",NULL,"D_10","210",NULL,"E_1"
"120","0001-01-01",NULL,NULL,NULL,"General Trend","PARM",NULL,"D_0","219",NULL,"E_2"
"121","2017-12-01",NULL,NULL,NULL,NULL,"PARM",NULL,"D_11","224","F_0","E_1"
"122","2019-01-11",NULL,NULL,NULL,NULL,"PARM",NULL,"D_2","227",NULL,"E_2"
